file	section	name	length_m	drop_m	gradient_pct	picked
Monarch_Canyon.kml	1	Monarch Cyn - 2.3 miles	3702	355.9	9.6	1
Monarch_Canyon.kml	2	1.7 mi exit hike	2756	37.8	1.4	0
Mormon_Misfit.kml	0	Section 1	8249	-672.3	-8.2	0
Mormon_Misfit.kml	1	Section 2	70	1.8	2.6	0
Mormon_Misfit.kml	2	Section 3	249	213.8	85.7	1
Mormon_Misfit.kml	3	Section 4	109	157.3	144.3	0
Mormon_Misfit.kml	4	Section 5	215	138.3	64.2	0
Mormon_Misfit.kml	5	Section 6	2216	103.4	4.7	0
Mormon_Misfit.kml	6	Section 7	81	57.3	70.7	0
Mud_Spring_Canyon.kml	0	Approach	3081	-93.6	-3.0	0
Mud_Spring_Canyon.kml	1	Bypass	252	-104.7	-41.6	0
Mud_Spring_Canyon.kml	2	Descent	1340	453.5	33.8	1
Mud_Spring_Canyon.kml	3	Exit	2028	138.8	6.8	0
Mud_Spring_Canyon.kml	4	Shuttle	13666	-501.3	-3.7	0
Munra_Creek.kml	0	Walk or shuttle	639	-33.5	-5.2	0
Munra_Creek.kml	1	Approach	3344	-300.7	-9.0	0
Munra_Creek.kml	2	Descent	858	323.6	37.7	1
Munra_Creek.kml	3	Exit	498	8.9	1.8	0
Mystery_Canyon.kml	0	Road (from top)	4853	10.4	0.2	0
Mystery_Canyon.kml	1	Approach (from top)	3315	-82.5	-2.5	0
Mystery_Canyon.kml	2	Approach	6982	-744.9	-10.7	0
Mystery_Canyon.kml	3	Descent	2905	687.6	23.7	1
Mystery_Canyon.kml	4	Exit	1927	21.5	1.1	0
Napoleon_Falls.kml	0	Approach	186	-1.5	-0.8	0
Napoleon_Falls.kml	1	Descent	149	162.8	109.1	1
Napoleon_Falls.kml	2	Exit	1807	-165.1	-9.1	0
Nobe_Young_Creek.kml	0	Approach	587	34.6	5.9	0
Nobe_Young_Creek.kml	1	Descent	1400	298.6	21.3	1
Nobe_Young_Creek.kml	2	Road shuttle	5768	-333.4	-5.8	0
Oneonta_Gorge.kml	0	Descent	870	155.6	17.9	1
Oneonta_Gorge.kml	1	Exit	539	3.3	0.6	0
Oneonta_Gorge.kml	2	Approach	2806	-155.8	-5.6	0
Orderville_Canyon.kml	0	Orderville Car Shuttle	11067	-375.5	-3.4	0
Orderville_Canyon.kml	1	Orderville Car Shuttle	34486	-181.1	-0.5	0
Orderville_Canyon.kml	2	Zion Shuttle	12641	150.5	1.2	0
Orderville_Canyon.kml	3	Orderville Canyon	10799	359.3	3.3	0
Orderville_Canyon.kml	4	Exit via The Narrows	4066	59.6	1.5	0
Paria_Canyon.kml	0	Section 1	58062	353.2	0.6	0
Pictograph_Canyon.kml	0	Pictograph Canyon - Snow Canyon Approach / Exit	1318	-35.0	-2.7	0
Pictograph_Canyon.kml	1	Pictograph Canyon - Optional Descent	53	31.4	58.8	0
Pictograph_Canyon.kml	2	Pictograph Canyon - Snow Canyon Approach / Exit	142	-14.6	-10.3	0
Pictograph_Canyon.kml	3	Pictograph Canyon - Snow Canyon Approach / Exit	101	-31.4	-31.1	0
Pictograph_Canyon.kml	4	Pictograph Canyon - Snow Canyon Approach	346	-125.1	-36.2	0
Pictograph_Canyon.kml	5	Pictograph Canyon - Approach	594	-18.2	-3.1	0
Pictograph_Canyon.kml	6	Pictograph Canyon - Descent	395	143.3	36.3	1
Pictograph_Canyon.kml	7	Pictograph Canyon - Tuacahn Approach / Exit	1301	-225.2	-17.3	0
Pit_of_Despair_Canyon.kml	0	MIRACLE MAX - up - 1.4 mi	2260	-417.5	-18.5	0
Pit_of_Despair_Canyon.kml	1	FIRE SWAMP - up from S - 0.7 mi	1051	-49.8	-4.7	0
Pit_of_Despair_Canyon.kml	2	FIRE SWAMP - up - from N	302	33.6	11.1	0
Pit_of_Despair_Canyon.kml	3	CS 9. - 2-2-12 - PREPARE TO DIE CANYON -	1019	172.0	16.9	0
Pit_of_Despair_Canyon.kml	4	CS 8. - 12-7-13 - LIGHTENING SANDS CANYON - down	1288	241.3	18.7	0
Pit_of_Despair_Canyon.kml	5	CS 7. - 12-2-12 - BUTERCUP CANYON - down	863	339.6	39.3	0
Pit_of_Despair_Canyon.kml	6	CS 6. - 12-2-12 - INCONCEIVABLE CANYON - down	1650	382.1	23.2	0
Pit_of_Despair_Canyon.kml	7	CS 5. - 5-6-12 - FIRESWAMP CANYON - down	1083	382.5	35.3	0
Pit_of_Despair_Canyon.kml	8	CS 4. - 11-3-12  - CLIFFS OF INSANITY - down	945	330.7	35.0	0
Pit_of_Despair_Canyon.kml	9	CS 3. - 11-4-12 - PIT OF DESPAIR -	827	270.4	32.7	0
Pit_of_Despair_Canyon.kml	10	CS 2. - 12-8-13 - SHRIEKING EELS - down - 1.6 mi	2595	410.3	15.8	0
Pit_of_Despair_Canyon.kml	11	CS 2 - SHRIEKING EELS - up - 12-8-13 - 1.9 mi	3035	-413.9	-13.6	0
Pit_of_Despair_Canyon.kml	12	CS 12 - HUMPERDINK CANYON - down - 0.4 mi	601	178.8	29.8	0
Pit_of_Despair_Canyon.kml	13	CS 11. - 2-17-13 - MIRACLE MAX W FORK - down	635	254.6	40.1	0
Pit_of_Despair_Canyon.kml	14	CS 10. - 2-2-12  - MIRACLE MAX CANYON - down	2250	254.1	11.3	0
Pit_of_Despair_Canyon.kml	15	CS 1. - 12-9-13 - WARTHOG CANYON - down - 1.8 mi	2893	469.5	16.2	1
Pit_of_Despair_Canyon.kml	16	APPROACH 2 - 2.3 mi	3726	114.4	3.1	0
Pit_of_Despair_Canyon.kml	17	APPROACH - 1.6 MI	2548	-133.3	-5.2	0
Pit_of_Despair_Canyon.kml	18	5-6-12 - Fireswamp - up	638	-24.9	-3.9	0
Pit_of_Despair_Canyon.kml	19	12-9-13 - WARTHOG - up - 1.8 mi	2932	-464.9	-15.9	0
Pit_of_Despair_Canyon.kml	20	12-2-12 - Inconceivable - up -1.3 mi	1374	-104.9	-7.6	0
Portal_Canyon.kml	0	Approach	3499	-728.9	-20.8	0
Portal_Canyon.kml	1	Exit	1378	105.6	7.7	0
Portal_Canyon.kml	2	Descent	2110	623.5	29.5	1
Portland_Creek_(Ivans_Tail).kml	0	Descent	393	76.5	19.5	1
Portland_Creek_(Ivans_Tail).kml	1	Exit	104	-30.4	-29.4	0
Portland_Creek_(Ivans_Tail).kml	2	Approach	321	-39.4	-12.3	0
Prindle_Creek.kml	0	Approach	3139	-58.5	-1.9	0
Prindle_Creek.kml	1	Descent	159	139.7	87.6	0
Prindle_Creek.kml	2	Exit	2023	163.4	8.1	1
Prindle_Creek.kml	3	Shuttle Route	3488	-243.6	-7.0	0
Prindle_Creek.kml	4	Non-Shuttle Approach	2894	-381.6	-13.2	0
Pritchett_Canyon.kml	0	Rock of Ages Approach	2985	-133.0	-4.5	0
Pritchett_Canyon.kml	1	Rock of Ages Canyon	841	91.4	10.9	1
Pritchett_Canyon.kml	2	Rock of Ages Exit	1745	45.0	2.6	0
Prometheus_Canyon.kml	0	Section 1	1487	81.9	5.5	0
Prometheus_Canyon.kml	1	Section 2	554	6.1	1.1	0
Prometheus_Canyon.kml	2	Section 3	3430	-89.7	-2.6	0
Quail_Creek_Canyon.kml	0	Approach	3541	-70.3	-2.0	0
Quail_Creek_Canyon.kml	1	Descent	875	39.9	4.6	0
Quartzville_Creek.kml	0	Shuttle Drive	2800	-65.4	-2.3	0
Quartzville_Creek.kml	1	Approach	36	11.3	31.4	1
Quartzville_Creek.kml	2	Descent	2508	89.8	3.6	0
Quartzville_Creek.kml	3	Exit	348	-36.8	-10.6	0
Questionable_Decision_Canyon.kml	0	Descent	660	513.2	77.8	1
Questionable_Decision_Canyon.kml	1	Approach	5975	-710.0	-11.9	0
Questionable_Decision_Canyon.kml	2	Exit	2961	196.3	6.6	0
Rattlesnake_Canyon_(Joshua_Tree).kml	0	Descent	86	37.8	44.0	1
Rattlesnake_Canyon_(Joshua_Tree).kml	1	Approach	622	-62.5	-10.1	0
Rattlesnake_Canyon_(Joshua_Tree).kml	2	Exit	488	24.3	5.0	0
Red_Wall_Canyon_(West_Fork).kml	0	Red Wall Canyon - NW Fork - 0.3 mi	389	144.6	37.2	0
Red_Wall_Canyon_(West_Fork).kml	1	3-11-12 - up ridge to 2nd canyon - 1.8 mi	2924	-39.7	-1.4	0
Red_Wall_Canyon_(West_Fork).kml	2	Red Wall Canyon - 2.6 mi	4212	530.2	12.6	1
Red_Wall_Canyon_(West_Fork).kml	3	Traverse short-cut - 0.7 mi	1177	-103.7	-8.8	0
Red_Wall_Canyon_(West_Fork).kml	4	Up ridge to canyon - 1.1 mi	1844	-529.9	-28.7	0
